run,sheet,sheet_name,section,row_no,field,value,status
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Date,2026-04-21,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Clarification Sequential No.,,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Retentate Flow Set Point (gpm),30,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Zero Refract,Y,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Start-up Time,,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Shut-down Time,,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Header,,Operator Initials,OP,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Time,1:00,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Initials,CR,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed Tank Level (%),20,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed Pressure (psi),10,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Perm C (gpm),5,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Perm D (gpm),5,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Feed RI (%),5,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Retentate RI (%),4,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Filtration,1,Permeate RI (%),,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Time,2:00,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Initials,CR,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed Tank Level (%),30,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed Pressure (psi),60,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed RI (%),20,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Retentate RI (%),10,Complete
BLEND-20260421-105954,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Permeate RI (%),11,Complete
